Corrient	Densidad de fl B
I/A	B/T

0,001	-0,064
0,000	-0,064
0,000	-0,064
0,001	-0,064
0,000	-0,064
0,000	-0,064
0,001	-0,064
0,001	-0,064
0,000	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,001	-0,064
0,000	-0,064
0,001	-0,064
0,001	-0,064
0,003	-0,064
0,036	-0,062
0,051	-0,055
0,060	-0,052
0,064	-0,050
0,069	-0,049
0,081	-0,046
0,081	-0,045
0,083	-0,045
0,089	-0,044
0,096	-0,042
0,117	-0,039
0,121	-0,030
0,124	-0,027
0,132	-0,022
0,135	-0,019
0,149	-0,014
0,159	-0,006
0,165	-0,001
0,166	0,002
0,178	0,010
0,184	0,014
0,193	0,022
0,199	0,025
0,207	0,031
0,210	0,036
0,216	0,041
0,219	0,042
0,224	0,046
0,221	0,047
0,230	0,050
0,239	0,056
0,246	0,062
0,252	0,066
0,256	0,071
0,256	0,072
0,254	0,073
0,253	0,073
0,248	0,073
0,244	0,072
0,242	0,071
0,240	0,071
0,240	0,071
0,240	0,070
0,238	0,070
0,236	0,070
0,235	0,070
0,232	0,069
0,230	0,069
0,230	0,069
0,223	0,068
0,215	0,066
0,212	0,065
0,208	0,064
0,205	0,064
0,203	0,063
0,199	0,063
0,198	0,062
0,186	0,061
0,180	0,059
0,175	0,058
0,175	0,057
0,173	0,057
0,173	0,056
0,173	0,056
0,170	0,056
0,166	0,056
0,159	0,054
0,152	0,052
0,147	0,051
0,141	0,049
0,139	0,048
0,139	0,048
0,137	0,048
0,137	0,047
0,136	0,047
0,131	0,046
0,127	0,046
0,125	0,045
0,122	0,045
0,111	0,042
0,104	0,039
0,105	0,039
0,102	0,039
0,097	0,037
0,093	0,036
0,091	0,036
0,088	0,035
0,087	0,034
0,088	0,035
0,084	0,034
0,082	0,033
0,070	0,030
0,068	0,029
0,066	0,028
0,063	0,027
0,059	0,026
0,047	0,022
0,038	0,019
0,036	0,018
0,032	0,017
0,029	0,016
0,025	0,014
0,019	0,012
0,015	0,011
0,008	0,010
0,001	0,005
0,000	0,005
0,000	0,005
0,001	0,005
0,001	0,005
0,001	0,005
0,001	0,005
0,000	0,005
0,001	0,005
0,001	0,004
0,001	0,005
0,001	0,004
0,000	0,004
0,000	0,004
-0,001	0,004
-0,001	0,004
-0,001	0,004
-0,001	0,004
-0,001	0,004
-0,001	0,004
-0,001	0,004
0,000	0,004
-0,001	0,004
-0,001	0,004
-0,001	0,004
0,000	0,004
-0,001	0,004
-0,039	-0,001
-0,044	-0,012
-0,046	-0,014
-0,046	-0,015
-0,046	-0,015
-0,046	-0,015
-0,046	-0,014
-0,053	-0,015
-0,066	-0,019
-0,084	-0,027
-0,093	-0,033
-0,101	-0,039
-0,108	-0,041
-0,113	-0,046
-0,114	-0,048
-0,120	-0,049
-0,130	-0,054
-0,138	-0,059
-0,144	-0,065
-0,145	-0,066
-0,147	-0,066
-0,147	-0,067
-0,152	-0,068
-0,169	-0,079
-0,174	-0,083
-0,176	-0,086
-0,191	-0,092
-0,198	-0,098
-0,210	-0,107
-0,213	-0,111
-0,216	-0,114
-0,220	-0,116
-0,231	-0,124
-0,235	-0,127
-0,240	-0,131
-0,247	-0,135
-0,249	-0,139
-0,254	-0,142
-0,259	-0,147
-0,259	-0,147
-0,260	-0,147
-0,257	-0,147
-0,257	-0,147
-0,256	-0,147
-0,252	-0,147
-0,253	-0,147
-0,251	-0,147
-0,248	-0,145
-0,243	-0,145
-0,244	-0,144
-0,244	-0,144
-0,237	-0,144
-0,233	-0,142
-0,232	-0,142
-0,230	-0,142
-0,227	-0,141
-0,225	-0,141
-0,224	-0,141
-0,220	-0,141
-0,219	-0,140
-0,213	-0,139
-0,209	-0,138
-0,205	-0,137
-0,194	-0,135
-0,194	-0,134
-0,195	-0,134
-0,193	-0,134
-0,185	-0,133
-0,179	-0,130
-0,178	-0,130
-0,174	-0,130
-0,174	-0,129
-0,171	-0,128
-0,169	-0,128
-0,162	-0,126
-0,159	-0,125
-0,158	-0,125
-0,154	-0,124
-0,142	-0,122
-0,139	-0,120
-0,135	-0,119
-0,132	-0,118
-0,131	-0,118
-0,127	-0,117
-0,123	-0,116
-0,119	-0,115
-0,115	-0,113
-0,108	-0,111
-0,101	-0,108
-0,093	-0,106
-0,091	-0,106
-0,082	-0,103
-0,079	-0,101
-0,076	-0,100
-0,070	-0,099
-0,067	-0,097
-0,061	-0,095
-0,055	-0,094
-0,043	-0,089
-0,040	-0,087
-0,034	-0,085
-0,030	-0,083
-0,016	-0,081
-0,005	-0,074
-0,001	-0,070
-0,001	-0,069
-0,001	-0,069
0,000	-0,069
-0,001	-0,069
-0,001	-0,069
0,000	-0,069
-0,001	-0,069
-0,001	-0,069
-0,001	-0,069
-0,001	-0,069
-0,001	-0,069
0,000	-0,069
0,000	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,000	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,001	-0,068
0,000	-0,068
0,002	-0,068
0,047	-0,065
0,055	-0,044
0,068	-0,038
0,080	-0,032
0,095	-0,025
0,128	-0,016
0,142	0,003
0,154	0,010
0,166	0,016
0,177	0,023
0,182	0,028
0,195	0,035
0,213	0,040
0,232	0,052
0,240	0,059
0,243	0,064
0,252	0,067
0,261	0,074
0,265	0,076
0,267	0,080
0,272	0,081
0,282	0,086
0,291	0,093
0,298	0,099
0,310	0,109
0,329	0,114
0,347	0,130
0,372	0,146
0,392	0,164
0,406	0,177
0,411	0,186
0,417	0,187
0,427	0,195
0,430	0,199
0,439	0,202
0,449	0,208
0,457	0,218
0,461	0,219
0,473	0,227
0,478	0,230
0,482	0,233
0,493	0,236
0,499	0,242
0,499	0,246
0,500	0,247
0,500	0,248
0,504	0,248
0,499	0,248
0,498	0,247
0,496	0,247
0,479	0,245
0,473	0,244
0,458	0,242
0,456	0,241
0,441	0,238
0,442	0,238
0,439	0,238
0,432	0,237
0,427	0,235
0,427	0,235
0,426	0,235
0,413	0,234
0,405	0,232
0,407	0,231
0,396	0,230
0,389	0,228
0,382	0,226
0,377	0,225
0,361	0,223
0,359	0,222
0,347	0,220
0,339	0,218
0,324	0,214
0,311	0,211
0,289	0,205
0,281	0,203
0,271	0,200
0,264	0,197
0,261	0,195
0,247	0,194
0,232	0,190
0,216	0,183
0,201	0,180
0,187	0,174
0,186	0,171
0,181	0,171
0,162	0,166
0,150	0,160
0,138	0,156
0,107	0,144
0,096	0,139
0,089	0,134
0,079	0,130
0,066	0,126
0,040	0,111
0,028	0,106
0,003	0,098
0,002	0,086
0,001	0,085
0,001	0,085
0,000	0,085
0,001	0,085
0,000	0,084
0,000	0,084
0,001	0,084
0,001	0,084
0,000	0,084
-0,001	0,084
-0,001	0,084
-0,001	0,084
0,000	0,084
-0,001	0,084
-0,001	0,084
-0,001	0,084
-0,001	0,084
0,000	0,084
0,000	0,084
-0,001	0,084
-0,057	0,084
-0,068	0,046
-0,082	0,036
-0,088	0,029
-0,091	0,024
-0,120	0,013
-0,127	-0,003
-0,130	-0,007
-0,134	-0,011
-0,137	-0,013
-0,141	-0,016
-0,153	-0,021
-0,168	-0,036
-0,174	-0,042
-0,179	-0,047
-0,187	-0,051
-0,197	-0,061
-0,206	-0,066
-0,221	-0,081
-0,231	-0,088
-0,246	-0,097
-0,256	-0,108
-0,260	-0,114
-0,269	-0,120
-0,276	-0,125
-0,281	-0,131
-0,299	-0,142
-0,306	-0,150
-0,330	-0,157
-0,341	-0,173
-0,351	-0,182
-0,353	-0,186
-0,371	-0,195
-0,378	-0,201
-0,387	-0,208
-0,399	-0,215
-0,414	-0,227
-0,419	-0,230
-0,431	-0,238
-0,445	-0,246
-0,454	-0,250
-0,461	-0,255
-0,463	-0,258
-0,473	-0,263
-0,484	-0,268
-0,489	-0,271
-0,494	-0,274
-0,497	-0,276
-0,499	-0,277
-0,496	-0,278
-0,478	-0,276
-0,461	-0,272
-0,460	-0,272
-0,444	-0,270
-0,438	-0,268
-0,426	-0,267
-0,416	-0,265
-0,407	-0,262
-0,403	-0,261
-0,390	-0,260
-0,386	-0,258
-0,372	-0,254
-0,367	-0,254
-0,364	-0,253
-0,359	-0,251
-0,341	-0,248
-0,339	-0,247
-0,331	-0,245
-0,316	-0,244
-0,313	-0,241
-0,307	-0,239
-0,300	-0,238
-0,286	-0,234
-0,282	-0,232
-0,280	-0,232
-0,270	-0,230
-0,254	-0,226
-0,221	-0,220
-0,200	-0,207
-0,196	-0,205
-0,196	-0,204
-0,181	-0,201
-0,170	-0,197
-0,161	-0,193
-0,141	-0,188
-0,123	-0,177
-0,109	-0,170
-0,103	-0,168
-0,075	-0,159
-0,062	-0,149
-0,051	-0,142
-0,047	-0,138
-0,041	-0,135
-0,013	-0,127
-0,004	-0,114
-0,002	-0,108
-0,001	-0,107
-0,001	-0,106
-0,001	-0,106
-0,001	-0,106
-0,001	-0,106
-0,001	-0,106
-0,001	-0,106
-0,001	-0,106
0,000	-0,106
0,000	-0,106
0,000	-0,106
0,000	-0,106
-0,001	-0,106
-0,001	-0,106
0,000	-0,106
0,001	-0,106
0,001	-0,106
0,001	-0,105
0,000	-0,105
0,000	-0,105
0,001	-0,105
0,001	-0,105
0,001	-0,105
0,001	-0,105
0,000	-0,105
0,001	-0,105
0,001	-0,105
0,001	-0,105
0,001	-0,105
0,005	-0,105
0,061	-0,096
0,082	-0,057
0,100	-0,042
0,131	-0,029
0,154	-0,001
0,169	0,016
0,181	0,028
0,187	0,035
0,203	0,046
0,210	0,053
0,222	0,062
0,229	0,067
0,241	0,074
0,255	0,082
0,262	0,091
0,279	0,104
0,285	0,108
0,304	0,119
0,333	0,128
0,345	0,148
0,356	0,157
0,368	0,163
0,379	0,173
0,385	0,176
0,390	0,178
0,412	0,190
0,419	0,196
0,429	0,201
0,433	0,204
0,446	0,212
0,455	0,217
0,473	0,226
0,485	0,233
0,487	0,237
0,498	0,240
0,512	0,250
0,518	0,254
0,540	0,265
0,565	0,278
0,575	0,285
0,587	0,291
0,597	0,298
0,617	0,308
0,627	0,313
0,637	0,319
0,667	0,333
0,681	0,340
0,692	0,346
0,705	0,352
0,720	0,361
0,725	0,363
0,728	0,366
0,729	0,368
0,731	0,368
0,733	0,369
0,734	0,368
0,732	0,369
0,732	0,368
0,724	0,368
0,709	0,367
0,697	0,364
0,683	0,363
0,664	0,360
0,654	0,357
0,645	0,356
0,626	0,354
0,619	0,352
0,611	0,350
0,600	0,349
0,593	0,347
0,583	0,345
0,562	0,342
0,555	0,340
0,544	0,338
0,543	0,337
0,532	0,336
0,516	0,333
0,510	0,331
0,505	0,330
0,498	0,328
0,483	0,325
0,467	0,323
0,454	0,319
0,446	0,317
0,429	0,313
0,421	0,311
0,409	0,306
0,387	0,302
0,381	0,299
0,373	0,296
0,372	0,296
0,373	0,296
0,369	0,296
0,370	0,296
0,372	0,296
0,370	0,295
0,366	0,295
0,367	0,295
0,352	0,292
0,341	0,288
0,320	0,283
0,294	0,276
0,277	0,268
0,263	0,264
0,252	0,259
0,222	0,248
0,202	0,242
0,177	0,227
0,167	0,222
0,153	0,217
0,137	0,211
0,122	0,201
0,111	0,196
0,094	0,185
0,086	0,181
0,066	0,173
0,060	0,164
0,048	0,159
0,017	0,144
0,005	0,130
0,003	0,124
0,002	0,122
0,001	0,121
0,001	0,121
0,001	0,121
0,001	0,120
0,001	0,121
0,001	0,120
0,001	0,120
0,000	0,121
0,000	0,120
0,000	0,120
0,000	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,001	0,119
-0,067	0,119
-0,083	0,065
-0,099	0,052
-0,125	0,038
-0,134	0,017
-0,155	0,005
-0,169	-0,011
-0,187	-0,023
-0,196	-0,037
-0,206	-0,045
-0,214	-0,053
-0,223	-0,061
-0,241	-0,075
-0,259	-0,086
-0,282	-0,102
-0,299	-0,118
-0,327	-0,130
-0,345	-0,153
-0,369	-0,172
-0,377	-0,181
-0,408	-0,202
-0,415	-0,208
-0,419	-0,212
-0,426	-0,217
-0,447	-0,229
-0,462	-0,237
-0,482	-0,251
-0,493	-0,256
-0,508	-0,265
-0,523	-0,274
-0,532	-0,280
-0,557	-0,293
-0,568	-0,299
-0,581	-0,308
-0,593	-0,312
-0,633	-0,323
-0,667	-0,341
-0,690	-0,358
-0,697	-0,362
-0,702	-0,365
-0,711	-0,367
-0,729	-0,375
-0,735	-0,377
-0,737	-0,379
-0,739	-0,379
-0,735	-0,379
-0,736	-0,380
-0,729	-0,379
-0,679	-0,376
-0,653	-0,368
-0,649	-0,366
-0,644	-0,366
-0,630	-0,364
-0,625	-0,363
-0,613	-0,361
-0,611	-0,360
-0,606	-0,359
-0,594	-0,358
-0,577	-0,354
-0,566	-0,353
-0,553	-0,350
-0,544	-0,348
-0,515	-0,344
-0,500	-0,340
-0,492	-0,337
-0,491	-0,336
-0,474	-0,333
-0,466	-0,331
-0,418	-0,323
-0,412	-0,318
-0,406	-0,316
-0,391	-0,313
-0,364	-0,306
-0,355	-0,303
-0,354	-0,301
-0,336	-0,297
-0,326	-0,295
-0,309	-0,290
-0,301	-0,285
-0,282	-0,279
-0,273	-0,276
-0,267	-0,272
-0,256	-0,269
-0,235	-0,265
-0,221	-0,258
-0,211	-0,253
-0,206	-0,248
-0,184	-0,241
-0,176	-0,236
-0,159	-0,229
-0,148	-0,224
-0,134	-0,216
-0,109	-0,204
-0,097	-0,197
-0,079	-0,185
-0,069	-0,179
-0,063	-0,173
-0,048	-0,168
-0,014	-0,156
-0,004	-0,134
-0,003	-0,129
-0,001	-0,127
-0,001	-0,126
-0,001	-0,126
-0,001	-0,126
0,000	-0,126
-0,001	-0,126
-0,001	-0,126
0,000	-0,126
0,001	-0,126
0,001	-0,125
0,001	-0,125
0,000	-0,125
0,001	-0,125
0,007	-0,123
0,009	-0,120
0,009	-0,119
0,037	-0,117
0,048	-0,096
0,056	-0,086
0,065	-0,079
0,074	-0,071
0,082	-0,065
0,096	-0,052
0,129	-0,047
0,151	-0,012
0,159	-0,001
0,172	0,008
0,190	0,020
0,202	0,035
0,223	0,053
0,233	0,060
0,250	0,070
0,277	0,088
0,324	0,123
0,332	0,140
0,344	0,147
0,355	0,155
0,374	0,170
0,383	0,176
0,400	0,184
0,430	0,199
0,467	0,228
0,480	0,237
0,502	0,248
0,533	0,261
0,574	0,281
0,608	0,304
0,617	0,312
0,633	0,321
0,670	0,333
0,697	0,346
0,724	0,356
0,741	0,365
0,755	0,373
0,765	0,380
0,776	0,382
0,805	0,393
0,808	0,397
0,808	0,398
0,806	0,398
0,811	0,398
0,824	0,402
0,841	0,409
0,849	0,413
0,877	0,420
0,889	0,425
0,911	0,432
0,934	0,438
0,957	0,450
0,963	0,452
0,981	0,456
0,987	0,459
0,993	0,461
0,999	0,462
1,004	0,465
0,993	0,465
0,971	0,461
0,968	0,461
0,968	0,461
0,970	0,461
0,963	0,460
0,959	0,460
0,942	0,458
0,938	0,458
0,938	0,457
0,935	0,457
0,924	0,456
0,923	0,455
0,916	0,454
0,912	0,453
0,907	0,453
0,896	0,452
0,892	0,451
0,889	0,450
0,889	0,450
0,880	0,450
0,863	0,448
0,857	0,445
0,854	0,445
0,844	0,445
0,835	0,443
0,836	0,443
0,833	0,443
0,827	0,442
0,822	0,441
0,815	0,440
0,814	0,439
0,811	0,439
0,808	0,438
0,803	0,438
0,795	0,437
0,788	0,436
0,787	0,435
0,774	0,433
0,771	0,433
0,768	0,432
0,763	0,432
0,756	0,430
0,748	0,430
0,740	0,427
0,736	0,426
0,733	0,426
0,726	0,426
0,726	0,425
0,723	0,424
0,709	0,423
0,709	0,422
0,701	0,421
0,697	0,419
0,693	0,418
0,686	0,418
0,677	0,416
0,672	0,415
0,661	0,413
0,658	0,412
0,650	0,411
0,645	0,409
0,641	0,409
0,641	0,408
0,638	0,408
0,641	0,408
0,639	0,408
0,640	0,408
0,634	0,408
0,620	0,405
0,604	0,401
0,598	0,400
0,589	0,398
0,581	0,396
0,576	0,395
0,571	0,393
0,561	0,391
0,556	0,390
0,538	0,387
0,524	0,382
0,521	0,381
0,512	0,380
0,506	0,378
0,487	0,372
0,479	0,371
0,474	0,369
0,460	0,366
