Corrient	Densidad de fl B
I/A	B/T

0,001	0,052
0,000	0,052
0,001	0,052
0,001	0,052
0,000	0,052
0,001	0,052
0,001	0,052
0,001	0,052
0,001	0,052
0,000	0,052
0,001	0,052
0,001	0,052
0,000	0,052
0,001	0,052
0,001	0,052
0,001	0,052
0,006	0,052
0,076	0,055
0,099	0,071
0,128	0,078
0,127	0,087
0,128	0,086
0,127	0,086
0,127	0,087
0,131	0,087
0,132	0,087
0,164	0,094
0,199	0,108
0,228	0,126
0,263	0,146
0,274	0,165
0,275	0,167
0,275	0,167
0,276	0,167
0,275	0,168
0,288	0,170
0,298	0,178
0,310	0,184
0,353	0,192
0,381	0,229
0,390	0,235
0,394	0,238
0,395	0,241
0,397	0,241
0,395	0,241
0,404	0,243
0,424	0,249
0,478	0,272
0,498	0,287
0,504	0,294
0,508	0,296
0,507	0,297
0,509	0,297
0,507	0,297
0,509	0,297
0,534	0,301
0,558	0,312
0,587	0,323
0,654	0,350
0,668	0,359
0,670	0,363
0,670	0,363
0,672	0,363
0,673	0,363
0,677	0,364
0,699	0,367
0,756	0,385
0,781	0,396
0,867	0,416
0,892	0,433
0,896	0,436
0,893	0,436
0,892	0,436
0,900	0,436
0,925	0,439
1,071	0,465
1,118	0,490
1,156	0,500
1,172	0,507
1,180	0,510
1,185	0,512
1,183	0,512
1,182	0,512
1,186	0,512
1,227	0,514
1,247	0,525
1,245	0,527
1,247	0,527
1,247	0,527
1,250	0,527
1,247	0,527
1,247	0,527
1,247	0,527
1,247	0,527
1,244	0,527
1,247	0,527
1,249	0,527
1,247	0,527
1,245	0,527
1,244	0,527
1,245	0,527
1,245	0,527
1,212	0,526
1,185	0,522
1,159	0,519
1,124	0,516
1,110	0,511
1,109	0,511
1,104	0,511
1,107	0,511
1,104	0,511
1,086	0,510
1,039	0,506
0,996	0,499
0,941	0,490
0,938	0,488
0,941	0,488
0,941	0,488
0,940	0,488
0,943	0,488
0,937	0,488
0,926	0,487
0,893	0,483
0,874	0,479
0,841	0,473
0,844	0,472
0,846	0,473
0,842	0,473
0,846	0,473
0,846	0,473
0,827	0,471
0,811	0,469
0,792	0,466
0,773	0,462
0,755	0,458
0,752	0,456
0,752	0,456
0,753	0,456
0,755	0,456
0,752	0,456
0,748	0,456
0,733	0,453
0,720	0,451
0,697	0,445
0,673	0,441
0,669	0,439
0,669	0,438
0,669	0,439
0,669	0,439
0,662	0,438
0,642	0,435
0,616	0,428
0,595	0,424
0,583	0,419
0,580	0,418
0,581	0,417
0,579	0,417
0,581	0,417
0,572	0,416
0,560	0,414
0,542	0,409
0,531	0,406
0,522	0,403
0,507	0,399
0,493	0,394
0,489	0,392
0,488	0,391
0,486	0,391
0,482	0,391
0,467	0,389
0,435	0,378
0,423	0,375
0,386	0,362
0,377	0,357
0,375	0,356
0,379	0,355
0,375	0,355
0,365	0,355
0,342	0,349
0,279	0,327
0,253	0,313
0,230	0,301
0,217	0,293
0,213	0,287
0,210	0,285
0,209	0,284
0,197	0,284
0,154	0,270
0,120	0,246
0,101	0,230
0,063	0,209
0,042	0,188
0,026	0,177
0,008	0,164
0,002	0,152
0,001	0,148
0,001	0,147
0,001	0,147
0,001	0,147
0,001	0,146
0,000	0,147
0,001	0,147
0,001	0,146
0,001	0,146
0,000	0,147
0,001	0,146
0,001	0,147
0,001	0,146
0,001	0,146
0,000	0,146
0,000	0,145
-0,001	0,145
0,000	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
0,000	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,001	0,145
-0,074	0,143
-0,091	0,080
-0,094	0,071
-0,094	0,068
-0,094	0,067
-0,094	0,067
-0,093	0,067
-0,096	0,067
-0,148	0,064
-0,168	0,020
-0,184	0,003
-0,194	-0,009
-0,197	-0,015
-0,200	-0,019
-0,199	-0,020
-0,198	-0,021
-0,201	-0,021
-0,213	-0,025
-0,223	-0,032
-0,258	-0,056
-0,273	-0,071
-0,288	-0,090
-0,290	-0,094
-0,289	-0,096
-0,290	-0,096
-0,289	-0,096
-0,294	-0,097
-0,303	-0,100
-0,333	-0,106
-0,347	-0,132
-0,353	-0,140
-0,354	-0,143
-0,355	-0,144
-0,350	-0,145
-0,352	-0,144
-0,386	-0,155
-0,413	-0,175
-0,431	-0,191
-0,439	-0,201
-0,441	-0,206
-0,444	-0,209
-0,443	-0,210
-0,442	-0,210
-0,446	-0,210
-0,453	-0,212
-0,460	-0,217
-0,492	-0,233
-0,505	-0,247
-0,507	-0,249
-0,507	-0,251
-0,510	-0,251
-0,508	-0,251
-0,508	-0,252
-0,522	-0,257
-0,534	-0,262
-0,577	-0,285
-0,588	-0,294
-0,587	-0,297
-0,587	-0,298
-0,586	-0,299
-0,590	-0,299
-0,593	-0,300
-0,600	-0,303
-0,618	-0,307
-0,635	-0,317
-0,649	-0,327
-0,651	-0,332
-0,653	-0,333
-0,653	-0,333
-0,654	-0,333
-0,654	-0,333
-0,668	-0,336
-0,697	-0,344
-0,724	-0,364
-0,729	-0,367
-0,727	-0,368
-0,728	-0,368
-0,727	-0,368
-0,731	-0,368
-0,744	-0,371
-0,755	-0,376
-0,780	-0,387
-0,789	-0,392
-0,783	-0,393
-0,786	-0,392
-0,784	-0,392
-0,787	-0,393
-0,787	-0,393
-0,809	-0,398
-0,823	-0,403
-0,860	-0,417
-0,863	-0,421
-0,863	-0,422
-0,865	-0,422
-0,865	-0,423
-0,865	-0,423
-0,883	-0,425
-0,898	-0,431
-0,908	-0,435
-0,926	-0,439
-0,943	-0,446
-0,948	-0,450
-0,945	-0,450
-0,943	-0,450
-0,952	-0,450
-0,981	-0,454
-1,007	-0,464
-1,017	-0,470
-1,037	-0,473
-1,039	-0,476
-1,036	-0,476
-1,039	-0,476
-1,043	-0,477
-1,060	-0,479
-1,087	-0,487
-1,103	-0,492
-1,107	-0,495
-1,104	-0,495
-1,101	-0,495
-1,106	-0,495
-1,104	-0,495
-1,122	-0,497
-1,144	-0,501
-1,183	-0,511
-1,198	-0,516
-1,212	-0,522
-1,209	-0,522
-1,207	-0,522
-1,209	-0,522
-1,209	-0,522
-1,229	-0,524
-1,249	-0,527
-1,252	-0,531
-1,250	-0,531
-1,250	-0,531
-1,252	-0,531
-1,252	-0,531
-1,250	-0,531
-1,252	-0,531
-1,252	-0,531
-1,252	-0,531
-1,255	-0,531
-1,252	-0,531
-1,252	-0,531
-1,242	-0,531
-1,227	-0,529
-1,203	-0,528
-1,197	-0,526
-1,200	-0,526
-1,201	-0,526
-1,203	-0,526
-1,191	-0,526
-1,171	-0,524
-1,134	-0,518
-1,134	-0,518
-1,136	-0,518
-1,138	-0,518
-1,136	-0,518
-1,133	-0,518
-1,131	-0,518
-1,099	-0,517
-1,065	-0,512
-1,043	-0,508
-1,051	-0,507
-1,049	-0,507
-1,051	-0,507
-1,049	-0,507
-1,048	-0,507
-1,046	-0,507
-1,049	-0,507
-1,046	-0,507
-0,992	-0,502
-0,978	-0,498
-0,970	-0,496
-0,972	-0,496
-0,970	-0,496
-0,972	-0,496
-0,972	-0,496
-0,970	-0,496
-0,969	-0,496
-0,966	-0,496
-0,920	-0,490
-0,900	-0,487
-0,897	-0,485
-0,900	-0,485
-0,900	-0,485
-0,902	-0,485
-0,900	-0,485
-0,900	-0,485
-0,894	-0,485
-0,874	-0,483
-0,853	-0,478
-0,849	-0,477
-0,850	-0,477
-0,852	-0,477
-0,850	-0,477
-0,850	-0,477
-0,850	-0,477
-0,850	-0,477
-0,846	-0,477
-0,836	-0,475
-0,815	-0,471
-0,811	-0,470
-0,812	-0,470
-0,814	-0,470
-0,814	-0,470
-0,812	-0,470
-0,814	-0,470
-0,797	-0,469
-0,740	-0,465
-0,738	-0,457
-0,737	-0,457
-0,738	-0,457
-0,741	-0,457
-0,739	-0,457
-0,741	-0,457
-0,740	-0,457
-0,739	-0,457
-0,738	-0,457
-0,721	-0,455
-0,700	-0,451
-0,669	-0,443
-0,669	-0,442
-0,673	-0,442
-0,671	-0,442
-0,668	-0,442
-0,669	-0,442
-0,669	-0,442
-0,670	-0,442
-0,661	-0,441
-0,648	-0,439
-0,614	-0,432
-0,613	-0,429
-0,612	-0,429
-0,614	-0,429
-0,611	-0,429
-0,612	-0,429
-0,617	-0,429
-0,609	-0,428
-0,604	-0,427
-0,589	-0,424
-0,585	-0,423
-0,589	-0,423
-0,587	-0,422
-0,587	-0,422
-0,588	-0,423
-0,584	-0,423
-0,572	-0,421
-0,566	-0,418
-0,560	-0,416
-0,554	-0,415
-0,560	-0,415
-0,558	-0,415
-0,546	-0,414
-0,536	-0,410
-0,530	-0,407
-0,531	-0,407
-0,531	-0,407
-0,530	-0,407
-0,523	-0,407
-0,522	-0,406
-0,516	-0,405
-0,511	-0,403
-0,502	-0,400
-0,501	-0,399
-0,500	-0,399
-0,502	-0,399
-0,500	-0,399
-0,502	-0,399
-0,501	-0,399
-0,497	-0,399
-0,486	-0,395
-0,487	-0,394
-0,488	-0,394
-0,490	-0,394
-0,489	-0,394
-0,486	-0,394
-0,487	-0,394
-0,488	-0,394
-0,487	-0,394
-0,484	-0,394
-0,477	-0,393
-0,473	-0,391
-0,473	-0,391
-0,471	-0,390
-0,464	-0,388
-0,461	-0,387
-0,458	-0,386
-0,464	-0,387
-0,461	-0,386
-0,454	-0,385
-0,442	-0,382
-0,436	-0,380
-0,436	-0,379
-0,437	-0,379
-0,437	-0,379
-0,435	-0,379
-0,407	-0,373
-0,395	-0,368
-0,387	-0,364
-0,384	-0,362
-0,385	-0,361
-0,384	-0,361
-0,381	-0,361
-0,379	-0,360
-0,358	-0,353
-0,339	-0,348
-0,337	-0,344
-0,338	-0,343
-0,336	-0,343
-0,335	-0,343
-0,334	-0,342
-0,320	-0,339
-0,298	-0,334
-0,285	-0,325
-0,286	-0,323
-0,285	-0,322
-0,287	-0,322
-0,288	-0,322
-0,286	-0,322
-0,283	-0,322
-0,263	-0,314
-0,253	-0,311
-0,248	-0,307
-0,246	-0,304
-0,245	-0,304
-0,244	-0,303
-0,240	-0,302
-0,237	-0,302
-0,229	-0,299
-0,220	-0,295
-0,217	-0,290
-0,216	-0,289
-0,218	-0,289
-0,216	-0,289
-0,215	-0,289
-0,215	-0,289
-0,215	-0,289
-0,207	-0,288
-0,186	-0,282
-0,161	-0,269
-0,152	-0,259
-0,151	-0,255
-0,150	-0,254
-0,150	-0,254
-0,150	-0,254
-0,141	-0,252
-0,126	-0,246
-0,107	-0,236
-0,096	-0,224
-0,094	-0,220
-0,092	-0,218
-0,094	-0,217
-0,089	-0,217
-0,077	-0,214
-0,045	-0,201
-0,015	-0,177
-0,008	-0,159
-0,003	-0,153
-0,003	-0,150
-0,001	-0,149
-0,001	-0,148
-0,001	-0,148
0,000	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,148
-0,001	-0,147
-0,001	-0,147
-0,001	-0,148
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
0,000	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
0,000	-0,147
-0,001	-0,147
-0,001	-0,147
-0,001	-0,147
0,000	-0,147
0,001	-0,147
0,001	-0,147
0,001	-0,147
0,001	-0,147
0,001	-0,147
0,001	-0,147
0,001	-0,146
0,000	-0,147
0,001	-0,146
0,001	-0,146
0,001	-0,146
0,001	-0,147
0,001	-0,146
0,001	-0,146
0,000	-0,146
0,001	-0,146
0,001	-0,146
0,000	-0,146
0,001	-0,146
0,001	-0,147
0,064	-0,142
0,066	-0,093
0,067	-0,091
0,067	-0,090
0,068	-0,090
0,068	-0,090
0,068	-0,089
0,082	-0,085
0,095	-0,074
0,122	-0,062
0,123	-0,044
0,124	-0,041
0,126	-0,041
0,126	-0,040
0,140	-0,038
0,178	-0,019
0,190	0,007
0,195	0,019
0,195	0,020
0,197	0,021
0,197	0,021
0,208	0,024
0,225	0,033
0,232	0,047
0,233	0,050
0,234	0,052
0,234	0,052
0,235	0,054
0,234	0,054
0,245	0,054
0,255	0,064
0,257	0,070
0,258	0,071
0,257	0,072
0,257	0,071
0,261	0,073
0,265	0,074
0,272	0,080
0,273	0,082
0,281	0,088
0,281	0,089
0,280	0,090
0,282	0,090
0,285	0,091
0,306	0,099
0,321	0,114
0,321	0,123
0,325	0,125
0,323	0,125
0,335	0,127
0,358	0,139
0,376	0,155
0,388	0,170
0,386	0,173
0,385	0,174
0,392	0,175
0,390	0,175
0,393	0,175
0,401	0,178
0,435	0,199
0,443	0,210
0,444	0,211
0,445	0,212
0,446	0,213
0,455	0,215
0,471	0,224
0,483	0,233
0,490	0,243
0,493	0,244
0,494	0,245
0,494	0,245
0,496	0,245
0,516	0,255
0,521	0,260
0,523	0,264
0,523	0,264
0,525	0,264
0,528	0,265
0,560	0,272
0,585	0,289
0,598	0,304
0,598	0,306
0,599	0,307
0,599	0,307
0,602	0,307
0,615	0,309
0,633	0,319
0,638	0,326
0,641	0,327
0,638	0,328
0,640	0,328
0,657	0,330
0,682	0,339
0,691	0,349
0,693	0,353
0,694	0,353
0,693	0,354
0,694	0,354
0,703	0,354
0,727	0,362
0,749	0,377
0,749	0,379
0,748	0,379
0,752	0,379
0,753	0,379
0,757	0,380
0,770	0,382
0,776	0,387
0,787	0,392
0,791	0,394
0,788	0,394
0,790	0,394
0,796	0,394
0,811	0,399
0,829	0,406
0,831	0,410
0,831	0,410
0,832	0,410
0,834	0,410
0,841	0,411
0,862	0,416
0,904	0,431
0,912	0,436
0,911	0,439
0,912	0,439
0,912	0,439
0,917	0,439
0,936	0,441
0,957	0,448
0,998	0,463
0,997	0,465
1,000	0,466
1,002	0,466
1,005	0,466
1,040	0,469
1,063	0,479
1,090	0,487
1,096	0,492
1,092	0,493
1,095	0,492
1,093	0,492
1,103	0,493
1,122	0,497
1,133	0,500
1,142	0,504
1,144	0,505
1,142	0,505
1,144	0,505
1,144	0,505
1,150	0,505
1,182	0,512
1,197	0,516
1,229	0,525
1,236	0,526
1,245	0,529
1,247	0,529
1,247	0,529
1,249	0,530
1,247	0,530
1,247	0,530
1,250	0,530
1,247	0,530
1,245	0,530
1,245	0,530
1,247	0,530
1,247	0,530
1,247	0,530
1,244	0,530
1,227	0,529
1,211	0,527
1,192	0,524
1,192	0,524
1,194	0,525
1,195	0,524
1,192	0,524
1,171	0,523
1,154	0,520
1,151	0,519
1,150	0,519
1,150	0,519
1,142	0,519
1,128	0,518
1,112	0,515
1,107	0,514
1,109	0,514
1,106	0,514
1,101	0,513
1,090	0,513
1,078	0,511
1,072	0,510
1,066	0,509
1,063	0,509
1,058	0,508
1,057	0,508
1,037	0,505
1,034	0,504
1,031	0,504
1,031	0,504
1,028	0,504
1,025	0,503
1,019	0,503
1,008	0,502
0,982	0,499
0,981	0,497
0,978	0,497
0,976	0,496
0,975	0,496
0,969	0,495
0,958	0,495
0,946	0,493
0,940	0,491
0,937	0,491
0,935	0,490
0,931	0,490
0,912	0,487
0,903	0,486
0,900	0,485
0,902	0,485
0,897	0,484
0,896	0,484
0,894	0,484
0,894	0,484
0,873	0,481
0,873	0,480
0,873	0,481
0,874	0,481
0,874	0,480
0,873	0,481
0,861	0,479
0,855	0,478
0,849	0,476
0,841	0,475
0,838	0,475
0,836	0,474
0,835	0,474
0,832	0,474
0,829	0,473
0,826	0,473
0,826	0,472
0,823	0,471
0,820	0,471
0,818	0,471
0,814	0,470
0,812	0,470
0,809	0,470
0,806	0,469
0,806	0,468
0,800	0,468
0,795	0,467
0,792	0,467
0,788	0,466
0,789	0,466
0,783	0,465
0,783	0,465
0,777	0,464
0,771	0,463
0,763	0,461
0,758	0,460
0,754	0,459
0,755	0,459
0,752	0,458
0,748	0,458
0,744	0,457
0,741	0,457
0,740	0,456
0,735	0,455
0,730	0,454
0,729	0,453
0,727	0,453
0,722	0,452
0,721	0,452
0,718	0,452
0,712	0,451
0,708	0,449
0,699	0,448
0,694	0,447
0,689	0,446
0,688	0,445
0,680	0,444
0,674	0,443
0,664	0,440
0,647	0,437
0,647	0,436
0,639	0,434
0,640	0,434
0,643	0,434
0,644	0,434
0,642	0,434
0,642	0,434
0,638	0,434
0,633	0,433
0,612	0,428
0,603	0,426
0,600	0,425
0,599	0,424
0,597	0,424
0,592	0,423
0,592	0,423
0,586	0,422
0,583	0,421
0,583	0,420
0,570	0,418
0,565	0,416
